Score,Soal 1,Soal 2,Soal 3,Soal 4,Soal 5
68,1,1,1,1,1
73,2,1,2,1,1
94,1,1,3,1,1
87,1,1,1,1,2
44,1,1,1,1,1
72,3,1,4,1,1
85,1,1,1,1,1
102,1,1,2,1,1
97,1,2,2,1,1
100,1,1,2,1,1
95,1,1,2,1,1
69,1,3,2,1,1
36,2,1,5,2,3
62,1,4,4,1,1
85,1,1,2,1,1
54,2,4,2,1,2
87,1,1,1,1,1
97,4,2,2,1,1
86,2,2,5,1,1
99,4,1,2,1,1
57,3,1,1,1,1
77,1,1,2,1,1
90,2,2,2,1,2
60,1,1,1,2,2
60,1,2,4,2,1
57,1,2,5,1,2
102,5,1,4,1,2
59,1,2,1,3,1
82,1,1,2,3,1
89,1,1,2,3,1
74,2,1,1,1,1
43,1,2,3,5,3
100,1,1,2,1,1
54,1,1,1,4,1
39,1,1,2,1,1
59,1,1,5,1,1
44,1,1,3,1,2
81,1,1,4,1,1
79,1,1,4,1,2
84,4,1,2,3,1
77,1,1,4,2,1
53,2,4,1,3,1
30,2,3,3,2,1
74,1,4,1,2,1
47,1,4,2,4,2
91,1,1,1,1,1
43,4,3,1,2,3
106,3,2,2,1,2
113,1,5,4,1,2
116,1,1,2,1,1
60,2,1,2,3,1
70,1,1,2,1,2
47,2,4,1,4,2
87,1,1,4,1,1
93,1,1,2,1,1
95,1,1,1,1,1
78,1,2,1,1,1
63,1,2,5,1,1
78,3,1,1,1,1
53,4,3,2,1,2
54,2,4,2,4,4
72,1,1,2,1,1
78,1,1,1,3,2
45,1,4,1,2,5
81,1,2,2,1,2
75,1,1,1,5,2
62,2,2,1,1,1
93,1,1,1,3,1
99,1,1,5,1,1
94,2,1,1,1,1
87,2,2,1,1,1
73,1,1,5,1,1
93,1,2,1,1,1
83,2,1,2,3,1
104,1,1,2,1,1
84,1,1,2,1,1
103,1,1,2,1,1
74,1,1,4,2,1
108,2,2,1,1,2
106,2,2,1,1,2
97,1,1,2,1,1
37,2,2,2,4,3
165,2,1,1,1,2
